query_time,user_id,query,result_rank,click_rank,click_url
0BA56489237BC91353300BE44298C6D8,6,昂的笔顺,三年级上册数学口算,牛的英语怎么读,抓木机
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,windows7ultimate,音频驱动器官方下载,助学贷款条件
20858CECBD8ED448A64B70C756ED8DEA,1,婚礼伴娘被脱精光,街头扒裤衣党视频,苏州到枣庄西的火车票,我是大明星穿勇装美女视频
A9EB0BED8D34ABB58AF6B24204EE05F8,1,音乐免费下载mp3歌曲,踝关节韧带陈旧损伤,玻璃酸钠注射液的禁忌,我不会再为了有你的未来而努力
266B8A299027974CC66FB5E0B398B8B2,2,建设银行卡能同时办两张吗,膜西蓝膜是哪个国家的,一双耐克帆布鞋猜猜是什么,旋风少女2若白去哪了
D85AA6929207EF5EEE6DD79287D0085E,4,微言情,黄金换彩金划算吗,小孩子生病了送什么礼物,蛋糕图片
4A773AA893057C664F0EA5E1B8D88156,1,细胞生物学 细胞骨架,根据dna碱基互补配对原则,肽键有什么特点,无菌操作方法
9BFE6710A8598452D53247F79DC3ED94,1,胡雪岩的启示,红酒口红,iphone 7包装盒曝光,苏州旅游攻略 穷游
33CF295A05421C2B3EAB7BFEBDF385FF,1,杨洋是不是北京人,杨丽萍58岁喊话小彩旗要靠自己,林惊羽扮演者,有哪些明星身上有纹身
3B273E65C2CE6A88745E71B971543267,1,孟婆,民间艺术团团长杨树林,梦之砂,skywort机顶盒密码是多少
F2F1AA11385F8F944C9E3BAF9756EECE,3,护照可以买高铁票吗,乌克兰基卡尼卡葵花籽油,顺丰的加急件多久能到,非月经期出血的原因
FCA7D31EFC50DB3D899B70D46F635B0E,2,中学优秀数学教师,可口可乐官网,中学数学经验的书,马克思主义基本原理概论
42E62A31DF9B88B174885835F0C13395,3,图代码,6岁孩子孩子一般多大的脚,美腿举牌照在线制作,减肥药真的能减肥吗
B3EAF66D1A96F5FF98B8FC0105974676,2,感冒咳嗽吃药没用怎么办,临沂到威海的汽车时刻表,沂南县宏远机械有限公司,临沂荷兰水乡三期
1354576C8D532D9EE6069250D8F57BBB,1,众泰t600运动版旗舰版,歌诗图,现代途胜2.0手动四驱,福特翼虎报价及图片
76D457A6DEBFB859D67FDBD1AC9E487D,3,松本清张,皮带国际品牌排名,微讯注销怎么弄,波斯登那家商场有
2AB1B6F4D8043992C5BE75B158172265,1,大白兔奶糖的寓意,中国女排,张鲁一,微微一笑很倾城电影演员表
5ECFD82A5528045DD21B3AD4FDF51334,3,中式新娘形容词,短发,信阳到周口高铁,湖南离河南
A8A597AE86BA479BC52BA9F21CC7BE33,1,完美假期,犹太人最早在哪个国家,say yex,完美告白
D77B1FEFDD203EF0D2EA211D2C61F3D8,5,人事网,内衣b80是多大的,怎样激活银行卡建设,麦露迪女鞋是几线品牌
C9DC55DBCBF1E9D6279AC633A42880DC,3,恐怖将映苏漩幼年,王美人,松涛北苑,松江泰晤士小镇最浪漫的地方
3BC155D50B3A81A1113E5C0610B9FCFE,1,一斤等于多少两,战锤任务安卓汉化,守望者,饥荒攻略
CE7B18C61B237B4DA7745AF6C70B2434,1,尺码偏小是什么意思,霸气qq昵称男生,八极漫画罪母3,为什么手机不充电放一段时间后开不起来了
37625E81132847F15F52D6F6C012F322,2,组合数学毕业论文,重庆到泉州快递,童子命,工厂运输货物图论规划优化
116667D94DEEC6374A5408B9E561ECC9,3,一渣到底快穿,上海租房 小说,wf密码破解器显示密码,2016年日历表
A3D4F82B79BD52B3F968612F1E2ED510,3,120g固态硬盘价格,广发银行信用卡中心进度,百度,众联钱包可以刷别人的信用卡吗
33281EA6007EBEA29B503BB2291B6358,3,奶瓶什么牌子好2016,秘密爱,中国式关系霍瑶瑶结局,爱不可及小说
