keyword,date,freq,uniq_users,source,source_rank,raw_heat,raw_heat_unit
如何评价比亚迪自研的 4nm 璇玑 A3 智驾芯片？,2026-05-29,1000,0,zhihu,1,946,
如何看待理想一季度财报，亏损 22.9 个亿？,2026-05-29,393,0,zhihu,2,372,
中国在不断的兴修水坝，而美国却拆了 1000 多座水坝，这是为什么？,2026-05-29,329,0,zhihu,3,311,
为什么本届年轻人宁愿去烧烤摊也不愿意去米其林等一些高档餐厅呢?,2026-05-29,290,0,zhihu,4,274,
claude opus 4.8 发布了，相较于 opus4.7，有什么提升的地方？,2026-05-29,215,0,zhihu,5,203,
美伊达成 60 天停火备忘录框架，霍尔木兹海峡恢复无限制通航，油价跳水，黄金转涨，哪些信息值得关注？,2026-05-29,215,0,zhihu,6,203,
新能源车动辄 2 吨以上，有的接近 4 吨，为什么车企拼命把车做大、做重？这么重会有什么隐患？,2026-05-29,214,0,zhihu,7,202,
官方通报亚丁景区封堵省道收费，将提级整治并调整摆渡车收费标准，对游客有哪些利好？景区要承担哪些责任？,2026-05-29,187,0,zhihu,8,177,
美团新规，5 月 25 日起新商家入驻必须拍带定位、无剪辑「一镜到底」视频，如何评价？能杜绝幽灵外卖吗？,2026-05-29,156,0,zhihu,9,148,
为什么语文课本有其他国家的篇章但是不选取日本的文学作品呢？是因为日本的文学底蕴不深厚吗？,2026-05-29,137,0,zhihu,10,130,
