query_time,user_id,query,result_rank,click_rank,click_url,matched_seed
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,windows7ultimate,音频驱动器官方下载,助学贷款条件,笔记本电脑
82270AC711633C51A8F72D8E18BD2392,1,红色口红推荐,珍惜你所拥有的英文,世纪末的魔术师优酷,饥饿鲨,口红
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,军训自我鉴定,雪莉,职务与职称的区别,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,贝贝母婴网官网,粉橙色毛呢大衣搭配,击弦,面膜
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,不说再见杜银玲,苹果4一打开马上黑屏,中国范儿 玖月奇迹,平板电脑
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,马齿苋的做法,孕妇可以去庙里吗,猴年男宝宝名字大全2016,洗发水
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,泰昊个人资料,像你爸妈那样,世界上最贵的猫,口红
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,铜陵学院学工系统,悦诗风吟黄金橄榄油,今年暑假民政部门对贫困户建档立户程序,面膜
73831855CDCD2DFF2FC45BF9FCAC2405,2,笔记本电脑滴滴滴响,教师编制,中国大陆禁止的app,新思路手机软件,笔记本电脑
CE4D4EC0EFBCB4E714E0CE70F3B8BB18,3,一叶子面膜怎么样,一叶子面膜多少钱一盒,蛋炒饭怎么做好吃,学习机,面膜
3CAB3EC740F434AE465542D50CC15DA3,2,麦克侬口红怎么样,蔡少芬,我的家在东北松花江上歌曲,白糖洗脸的好处,口红
2D4598460DD02F832B5C9DE1EC7605F8,2,怀孕可以用猪皮面膜吗,怀孕适合用什么面膜,没带身份证怎么住酒店,长方形格子的面积公式,面膜
A19B3C75F94B07BB37A42A5B48DD3072,2,圣罗兰橘色系口红推荐,武进人民医院招聘,常州钟楼卫生院护士招聘,迪奥口红橘色,口红
4D5BB724D617F373F88F43FD0F133A24,2,sum37泡泡面膜怎么样,虐恋情深 小说现代,指甲油的危害,灰姑娘与四骑士百度云,面膜
5032665D06BFC38578F7FD95036D7D5A,3,美宝莲的好气色口红的樱桃红05怎么样,写给未来老公的一封信,2016年燃气价格是多少,等待候鸟 珍爱网南宁,口红
7611A186122E3AA66C7507AC7C63A3E6,3,鸡蛋能和什么做面膜,什么是补血圣药,什么油最适合炒菜,赵丽颖会做饭吗,面膜
E2981883B7D0024DBCE442E0C58470C1,2,一叶子面膜怎么样,以f.fe结尾加s的有,中国最大的薰衣草基地在哪,早教师资格证怎样报考,面膜
65577D591CF0D6730E9A1DBDC8C33B30,3,黄瓜面膜的功效,黄瓜面膜能天天做吗,熟悉的味道,层压,面膜
12678FE67B8F16E926D0CB8487AC7688,3,一叶子面膜怎么样,什么牌子的粉底比较保湿,于小光个人资料照片,周星驰导的电影有哪些,面膜
B12B99B6FFBFBE8D0E107061AB7E9391,1,面膜泥怎么涂,三盛集团董事长杨年华,火影忍者中那些人是上忍,6943750066152,面膜
618FE1F3B04FBDD19E2530DFA94B64D8,1,笔记本电脑什么牌子好,盖世英雄中的美女,三星s6edge十,越野驾驶沙漠中文版,笔记本电脑
4744ED170F40ACCDBCBFF07CE29ED77B,1,面膜几天敷一次最好,满腔热血的碰壁,成都机场附近有地铁吗,哥诗达,面膜
