query_time,user_id,query,token,matched_seed
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,笔记本电脑,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,500g,笔记本电脑
C4834FD969574A71FD08D10CF73AD60B,1,笔记本电脑500g硬盘,硬盘,笔记本电脑
82270AC711633C51A8F72D8E18BD2392,1,红色口红推荐,红色口红推荐,口红
E9CF0D2C16B1EC3006A5FD0764A3739A,1,一叶子面膜怎么样,一叶子面膜怎么样,面膜
F54D52B88552CA02ECB501D573A0794A,2,一叶子面膜怎么样,一叶子面膜怎么样,面膜
89218890AA52EA6732804EA14D9F41F6,2,紫光电子平板电脑怎么样,紫光电子平板电脑怎么样,平板电脑
D563FF0FFE32C129DB47F61D266953B7,4,吏努比洗发水好吗,吏努比洗发水好吗,洗发水
919ACDB6C984D337BB01AA78084A2E82,1,什么牌子口红好用,什么牌子口红好用,口红
726BD3BEB6CABDE6411F9012B35D5157,2,敷春雨面膜需要洗脸吗,敷春雨面膜需要洗脸吗,面膜
73831855CDCD2DFF2FC45BF9FCAC2405,2,笔记本电脑滴滴滴响,笔记本电脑滴滴滴响,笔记本电脑
CE4D4EC0EFBCB4E714E0CE70F3B8BB18,3,一叶子面膜怎么样,一叶子面膜怎么样,面膜
3CAB3EC740F434AE465542D50CC15DA3,2,麦克侬口红怎么样,麦克侬口红怎么样,口红
2D4598460DD02F832B5C9DE1EC7605F8,2,怀孕可以用猪皮面膜吗,怀孕可以用猪皮面膜吗,面膜
A19B3C75F94B07BB37A42A5B48DD3072,2,圣罗兰橘色系口红推荐,圣罗兰橘色系口红推荐,口红
4D5BB724D617F373F88F43FD0F133A24,2,sum37泡泡面膜怎么样,sum37,面膜
4D5BB724D617F373F88F43FD0F133A24,2,sum37泡泡面膜怎么样,泡泡面膜怎么样,面膜
5032665D06BFC38578F7FD95036D7D5A,3,美宝莲的好气色口红的樱桃红05怎么样,美宝莲的好气色口红的樱桃红,口红
5032665D06BFC38578F7FD95036D7D5A,3,美宝莲的好气色口红的樱桃红05怎么样,05,口红
5032665D06BFC38578F7FD95036D7D5A,3,美宝莲的好气色口红的樱桃红05怎么样,怎么样,口红
7611A186122E3AA66C7507AC7C63A3E6,3,鸡蛋能和什么做面膜,鸡蛋能和什么做面膜,面膜
E2981883B7D0024DBCE442E0C58470C1,2,一叶子面膜怎么样,一叶子面膜怎么样,面膜
65577D591CF0D6730E9A1DBDC8C33B30,3,黄瓜面膜的功效,黄瓜面膜的功效,面膜
12678FE67B8F16E926D0CB8487AC7688,3,一叶子面膜怎么样,一叶子面膜怎么样,面膜
B12B99B6FFBFBE8D0E107061AB7E9391,1,面膜泥怎么涂,面膜泥怎么涂,面膜
618FE1F3B04FBDD19E2530DFA94B64D8,1,笔记本电脑什么牌子好,笔记本电脑什么牌子好,笔记本电脑
4744ED170F40ACCDBCBFF07CE29ED77B,1,面膜几天敷一次最好,面膜几天敷一次最好,面膜
CDF275B41489236D554BCB1A33C566DA,3,水光面膜多少钱一盒,水光面膜多少钱一盒,面膜
06ADCFE391856794D8F400300DAF5DBE,3,可莱丝卡通面膜,可莱丝卡通面膜,面膜
DFF8E7700B534FE3E620A20EE44DEE3E,2,蓝牙耳机充满电有什么提示,蓝牙耳机充满电有什么提示,蓝牙耳机
